iter	Passed	Remaining
418	2724	127310
419	2731	127333
420	2738	127360
421	2745	127385
422	2752	127399
423	2758	127374
424	2764	127348
425	2770	127319
426	2777	127295
427	2783	127268
428	2789	127247
429	2796	127267
430	2803	127271
431	2810	127307
432	2817	127322
433	2824	127323
434	2831	127333
435	2838	127348
436	2845	127382
437	2852	127388
438	2859	127400
439	2866	127430
440	2873	127428
441	2880	127451
442	2888	127538
443	2895	127524
444	2904	127626
445	2911	127646
446	2918	127668
447	2926	127713
448	2933	127737
449	2940	127732
450	2947	127761
451	2949	127572
452	2957	127597
453	2964	127612
454	2971	127638
455	2977	127612
456	2984	127608
457	2990	127604
458	2996	127581
459	3004	127615
460	3011	127647
461	3019	127679
462	3026	127702
463	3033	127711
464	3041	127763
465	3048	127770
466	3056	127832
467	3063	127863
468	3071	127921
469	3078	127920
470	3086	127958
471	3093	127987
472	3101	128020
473	3108	128038
474	3116	128099
475	3124	128148
476	3131	128176
477	3138	128188
478	3146	128217
479	3153	128253
480	3161	128299
481	3169	128334
482	3175	128332
483	3182	128333
484	3189	128317
485	3195	128322
486	3202	128328
487	3210	128378
488	3218	128419
489	3224	128395
490	3230	128375
491	3237	128370
492	3244	128366
493	3250	128357
494	3256	128326
495	3262	128294
496	3269	128306
497	3276	128300
498	3282	128285
499	3288	128255
500	3294	128225
501	3300	128209
502	3306	128181
503	3313	128157
504	3318	128124
505	3325	128106
506	3331	128073
507	3337	128051
508	3343	128046
509	3350	128036
510	3356	128028
511	3364	128077
512	3369	127986
513	3375	127975
514	3381	127944
515	3387	127913
516	3394	127906
517	3400	127875
518	3406	127852
519	3413	127856
520	3418	127825
521	3424	127796
522	3427	127650
523	3433	127629
524	3439	127603
525	3445	127570
526	3452	127565
527	3459	127577
528	3466	127587
529	3473	127592
530	3479	127590
531	3485	127556
532	3491	127527
533	3498	127526
534	3504	127518
535	3510	127489
536	3517	127480
537	3523	127470
538	3530	127455
539	3536	127436
540	3544	127491
541	3551	127501
542	3558	127502
543	3564	127474
544	3571	127481
545	3576	127448
546	3583	127436
547	3589	127430
548	3596	127412
549	3602	127408
550	3608	127381
551	3615	127371
552	3621	127356
553	3627	127343
554	3633	127312
555	3640	127315
556	3647	127304
557	3653	127293
558	3659	127285
559	3665	127256
560	3672	127258
561	3678	127237
562	3685	127234
563	3691	127228
564	3698	127214
565	3705	127229
566	3711	127210
567	3718	127212
568	3725	127211
569	3731	127182
570	3738	127195
571	3745	127211
572	3752	127211
573	3758	127207
574	3765	127200
575	3772	127217
576	3780	127251
577	3787	127263
578	3794	127262
579	3801	127277
580	3809	127314
581	3815	127312
582	3822	127304
583	3829	127329
584	3836	127333
585	3843	127339
586	3850	127334
587	3859	127402
588	3866	127412
589	3873	127441
590	3880	127436
591	3888	127476
592	3894	127466
593	3902	127480
594	3909	127505
595	3916	127502
596	3923	127523
597	3931	127541
598	3937	127546
599	3946	127587
600	3953	127611
601	3960	127633
602	3967	127633
603	3974	127636
604	3982	127672
605	3990	127700
606	3997	127704
607	3999	127576
608	4006	127580
609	4013	127575
610	4019	127549
611	4025	127522
612	4031	127492
613	4037	127469
614	4043	127440
615	4049	127415
616	4055	127387
617	4060	127358
618	4066	127334
619	4072	127305
620	4078	127282
621	4080	127121
622	4086	127096
623	4092	127077
624	4098	127050
625	4104	127026
626	4110	126997
627	4116	126974
628	4122	126950
629	4128	126925
630	4134	126903
631	4140	126881
632	4147	126883
633	4153	126882
634	4161	126915
635	4168	126918
636	4176	126940
637	4183	126958
638	4190	126980
639	4198	127003
640	4206	127030
641	4213	127043
642	4220	127049
643	4227	127067
644	4235	127088
645	4242	127111
646	4249	127124
647	4257	127153
648	4264	127154
649	4270	127128
650	4276	127110
651	4284	127131
652	4291	127136
653	4297	127137
654	4304	127129
655	4310	127104
656	4317	127104
657	4323	127100
658	4330	127099
659	4336	127079
660	4343	127072
661	4351	127106
662	4358	127129
663	4366	127151
664	4373	127153
665	4379	127148
666	4386	127139
667	4392	127123
668	4399	127122
669	4405	127103
670	4411	127087
671	4417	127065
672	4423	127038
673	4430	127027
674	4435	126998
675	4442	126978
676	4447	126948
677	4453	126931
678	4460	126921
679	4467	126915
680	4474	126924
681	4480	126921
682	4487	126924
683	4494	126931
684	4500	126905
685	4506	126881
686	4512	126867
687	4519	126854
688	4526	126869
689	4532	126849
690	4538	126828
691	4544	126811
692	4550	126786
693	4557	126769
694	4563	126753
695	4570	126757
696	4576	126750
697	4582	126728
698	4588	126707
699	4594	126680
700	4600	126658
701	4606	126636
702	4612	126618
703	4619	126604
704	4625	126587
705	4631	126568
706	4637	126560
707	4644	126562
708	4651	126574
709	4658	126572
710	4665	126576
711	4672	126582
712	4680	126598
713	4687	126617
714	4694	126632
715	4704	126709
716	4712	126736
717	4721	126804
718	4729	126840
719	4739	126916
720	4747	126950
721	4756	126994
722	4764	127023
723	4774	127114
724	4786	127262
725	4796	127346
726	4804	127372
727	4808	127302
728	4817	127338
729	4824	127360
730	4831	127365
731	4839	127400
732	4846	127397
733	4853	127395
734	4860	127392
735	4866	127386
736	4873	127386
737	4880	127387
738	4886	127368
739	4893	127353
740	4899	127331
741	4905	127309
742	4911	127290
743	4917	127270
744	4923	127243
745	4929	127217
746	4935	127194
747	4940	127168
748	4946	127146
749	4952	127126
750	4958	127102
751	4964	127081
752	4970	127058
753	4980	127118
754	4987	127140
755	4994	127145
756	5001	127133
757	5007	127112
758	5013	127095
759	5019	127077
760	5025	127053
761	5031	127028
762	5037	127002
763	5043	126987
764	5049	126969
765	5055	126945
766	5072	127201
767	5094	127567
768	5100	127547
769	5106	127523
770	5112	127510
771	5118	127488
772	5124	127465
773	5130	127438
774	5136	127418
775	5142	127394
776	5148	127368
777	5154	127342
778	5160	127331
779	5167	127325
780	5173	127302
781	5179	127279
782	5185	127257
783	5192	127258
784	5198	127255
785	5204	127236
786	5211	127216
787	5217	127195
788	5223	127174
789	5229	127151
790	5235	127129
791	5241	127108
792	5247	127088
793	5253	127068
794	5259	127050
795	5265	127031
796	5271	127008
797	5277	126984
798	5283	126960
799	5288	126933
800	5295	126930
801	5301	126909
802	5307	126893
803	5313	126873
804	5319	126849
805	5325	126830
806	5331	126806
807	5337	126786
808	5342	126730
809	5348	126708
810	5354	126690
811	5361	126688
812	5367	126670
813	5374	126680
814	5380	126660
815	5387	126666
816	5394	126669
817	5401	126662
818	5408	126658
819	5413	126633
820	5420	126628
821	5426	126609
822	5433	126598
823	5439	126585
824	5446	126581
825	5452	126567
826	5459	126562
827	5464	126538
828	5471	126539
829	5477	126518
830	5485	126526
831	5491	126526
832	5498	126528
833	5507	126556
834	5514	126569
835	5521	126573
836	5527	126551
837	5534	126558
838	5541	126545
839	5547	126527
840	5554	126530
841	5560	126528
842	5567	126521
843	5573	126509
844	5580	126491
845	5587	126494
846	5594	126508
847	5601	126501
848	5607	126500
849	5614	126480
850	5620	126476
851	5627	126463
852	5633	126453
853	5640	126452
854	5646	126445
855	5653	126434
856	5659	126423
857	5666	126415
858	5672	126406
859	5678	126384
860	5685	126377
861	5691	126355
862	5697	126346
863	5704	126335
864	5710	126321
865	5717	126323
866	5723	126301
867	5730	126304
868	5736	126285
869	5742	126271
870	5749	126275
871	5755	126258
872	5762	126249
873	5769	126248
874	5775	126225
875	5781	126221
876	5787	126201
877	5794	126207
878	5801	126206
879	5808	126211
880	5815	126212
881	5821	126194
882	5828	126185
883	5834	126163
884	5840	126143
885	5846	126127
886	5853	126122
887	5860	126131
888	5867	126144
889	5874	126140
890	5881	126135
891	5888	126138
892	5895	126150
893	5902	126141
894	5908	126130
895	5915	126134
896	5922	126136
897	5929	126133
898	5935	126113
899	5944	126145
900	5950	126143
901	5957	126140
902	5965	126166
903	5972	126156
904	5978	126152
905	5987	126181
906	5993	126163
907	5999	126157
908	6008	126194
909	6016	126209
910	6023	126210
911	6030	126214
912	6037	126218
913	6044	126213
914	6052	126244
915	6059	126242
916	6066	126247
917	6073	126254
918	6081	126260
919	6088	126270
920	6096	126287
921	6102	126274
922	6108	126260
923	6114	126242
924	6120	126221
925	6126	126200
926	6132	126176
927	6138	126158
928	6144	126140
929	6150	126118
930	6156	126094
931	6162	126075
932	6168	126056
933	6174	126040
934	6180	126020
935	6186	126002
936	6192	125986
937	6198	125965
938	6204	125942
939	6211	125938
940	6217	125927
941	6223	125916
942	6229	125895
943	6235	125874
944	6241	125860
945	6247	125838
946	6253	125818
947	6259	125800
948	6265	125779
949	6271	125759
950	6277	125743
951	6283	125723
952	6289	125707
953	6295	125685
954	6301	125664
955	6307	125643
956	6314	125644
957	6321	125646
958	6328	125648
959	6334	125641
960	6340	125624
961	6346	125604
962	6352	125586
963	6359	125570
964	6365	125556
965	6371	125538
966	6377	125519
967	6383	125502
968	6389	125486
969	6395	125468
970	6401	125447
971	6407	125439
972	6414	125431
973	6420	125416
974	6426	125396
975	6432	125377
976	6438	125360
977	6444	125342
978	6450	125323
979	6456	125303
980	6462	125284
981	6468	125265
982	6474	125246
983	6479	125226
984	6487	125247
985	6494	125246
986	6502	125267
987	6510	125279
988	6517	125278
989	6524	125277
990	6530	125272
991	6536	125254
992	6542	125235
993	6548	125211
994	6554	125193
995	6560	125178
996	6566	125157
997	6572	125140
998	6578	125121
999	6584	125102
1000	6590	125089
1001	6596	125069
1002	6602	125051
1003	6608	125041
1004	6615	125033
1005	6621	125021
1006	6627	125000
1007	6633	124991
1008	6641	125007
1009	6648	125013
1010	6656	125018
1011	6663	125019
1012	6670	125026
1013	6676	125007
1014	6682	124991
1015	6688	124971
1016	6694	124956
1017	6700	124938
1018	6707	124936
1019	6713	124921
1020	6719	124900
1021	6725	124880
1022	6732	124883
1023	6738	124866
1024	6743	124845
1025	6750	124840
1026	6756	124820
1027	6762	124804
1028	6768	124785
1029	6774	124767
1030	6780	124751
1031	6786	124733
1032	6792	124714
1033	6798	124693
1034	6804	124685
1035	6811	124693
1036	6818	124687
1037	6826	124702
1038	6834	124723
1039	6841	124722
1040	6848	124726
1041	6854	124709
1042	6860	124696
1043	6866	124676
1044	6872	124659
1045	6878	124645
1046	6884	124628
1047	6890	124610
1048	6896	124587
1049	6902	124569
1050	6908	124553
1051	6914	124536
1052	6920	124529
1053	6927	124519
1054	6933	124512
1055	6943	124563
1056	6952	124594
1057	6958	124581
1058	6964	124564
1059	6970	124544
1060	6976	124527
1061	6983	124530
1062	6990	124525
1063	6997	124525
1064	7003	124513
1065	7009	124499
1066	7016	124505
1067	7023	124494
1068	7031	124519
1069	7039	124531
1070	7047	124552
1071	7055	124580
1072	7063	124598
1073	7070	124597
1074	7078	124607
1075	7085	124610
1076	7092	124615
1077	7098	124594
1078	7104	124586
1079	7110	124572
1080	7117	124559
1081	7123	124546
1082	7131	124569
1083	7139	124578
1084	7145	124560
1085	7151	124556
1086	7158	124544
1087	7164	124541
1088	7171	124528
1089	7178	124542
1090	7185	124544
1091	7192	124538
1092	7198	124528
1093	7204	124513
1094	7210	124495
1095	7217	124488
1096	7224	124483
1097	7231	124482
1098	7238	124489
1099	7244	124476
1100	7251	124474
1101	7259	124486
1102	7266	124485
1103	7272	124479
1104	7279	124481
1105	7286	124483
1106	7292	124465
1107	7299	124453
1108	7305	124436
1109	7312	124435
1110	7320	124459
1111	7329	124498
1112	7337	124521
1113	7344	124512
1114	7356	124592
1115	7363	124606
1116	7370	124597
1117	7377	124602
1118	7384	124599
1119	7390	124582
1120	7396	124564
1121	7402	124556
1122	7408	124540
1123	7414	124521
1124	7423	124542
1125	7430	124545
1126	7437	124549
1127	7443	124534
1128	7449	124518
1129	7455	124502
1130	7461	124484
1131	7468	124491
1132	7475	124490
1133	7482	124487
1134	7489	124478
1135	7495	124463
1136	7501	124446
1137	7507	124430
1138	7513	124413
1139	7524	124477
1140	7534	124529
1141	7542	124544
1142	7551	124587
1143	7557	124573
1144	7563	124555
1145	7570	124552
1146	7577	124554
1147	7584	124545
1148	7590	124527
1149	7596	124508
1150	7601	124490
1151	7607	124472
1152	7614	124473
1153	7623	124506
1154	7631	124514
1155	7637	124500
1156	7643	124481
1157	7649	124464
1158	7655	124444
1159	7661	124429
1160	7668	124428
1161	7674	124420
1162	7681	124420
1163	7687	124404
1164	7693	124387
1165	7699	124367
1166	7705	124347
1167	7712	124349
1168	7720	124362
1169	7727	124364
1170	7735	124377
1171	7743	124402
1172	7751	124411
1173	7758	124412
1174	7765	124419
1175	7773	124436
1176	7781	124444
1177	7787	124429
1178	7793	124414
1179	7799	124395
1180	7805	124378
1181	7811	124367
1182	7818	124364
1183	7830	124438
1184	7838	124463
1185	7846	124472
1186	7852	124459
1187	7858	124443
1188	7865	124444
1189	7872	124444
1190	7880	124461
1191	7888	124468
1192	7894	124456
1193	7900	124436
1194	7906	124419
1195	7913	124413
1196	7920	124411
1197	7926	124409
1198	7932	124390
1199	7938	124372
1200	7945	124361
1201	7950	124344
1202	7956	124328
1203	7963	124324
1204	7970	124326
1205	7977	124318
1206	7983	124300
1207	7989	124283
1208	7995	124264
1209	8000	124246
1210	8006	124229
1211	8013	124228
1212	8020	124228
1213	8028	124230
1214	8034	124222
1215	8040	124211
1216	8046	124194
1217	8052	124177
1218	8059	124168
1219	8066	124175
1220	8073	124177
1221	8079	124160
1222	8085	124145
1223	8091	124128
1224	8097	124112
1225	8104	124100
1226	8110	124094
1227	8118	124100
1228	8124	124094
1229	8130	124075
1230	8138	124082
1231	8144	124076
1232	8152	124081
1233	8159	124090
1234	8168	124110
1235	8175	124118
1236	8182	124120
1237	8190	124125
1238	8197	124123
1239	8204	124130
1240	8212	124142
1241	8221	124163
1242	8228	124174
1243	8237	124192
1244	8243	124188
1245	8251	124192
1246	8258	124197
1247	8265	124195
1248	8273	124202
1249	8280	124210
1250	8290	124249
1251	8298	124267
1252	8307	124294
1253	8315	124306
1254	8323	124322
1255	8332	124351
1256	8340	124361
1257	8347	124358
1258	8353	124353
1259	8360	124349
1260	8367	124343
1261	8373	124330
1262	8379	124312
1263	8385	124295
1264	8391	124279
1265	8397	124262
1266	8403	124246
1267	8410	124247
1268	8417	124243
1269	8423	124226
1270	8430	124222
1271	8437	124225
1272	8443	124209
1273	8449	124202
1274	8456	124199
1275	8463	124187
1276	8469	124174
1277	8475	124155
1278	8480	124137
1279	8486	124120
1280	8492	124104
1281	8498	124087
1282	8505	124077
1283	8511	124069
1284	8517	124051
1285	8524	124045
1286	8532	124057
1287	8539	124060
1288	8547	124070
1289	8554	124078
1290	8561	124074
1291	8569	124081
1292	8575	124068
1293	8581	124055
1294	8588	124050
1295	8594	124035
1296	8600	124027
1297	8607	124017
1298	8613	123998
1299	8618	123980
1300	8631	124055
1301	8640	124083
1302	8646	124074
1303	8652	124057
1304	8658	124043
1305	8664	124022
1306	8670	124004
1307	8676	123986
1308	8683	123984
1309	8689	123974
1310	8695	123956
1311	8701	123944
1312	8707	123924
1313	8713	123917
1314	8721	123931
1315	8729	123939
1316	8736	123933
1317	8741	123913
1318	8748	123906
1319	8754	123887
1320	8760	123869
1321	8765	123849
1322	8771	123829
1323	8777	123813
1324	8783	123794
1325	8789	123776
1326	8794	123758
1327	8800	123742
1328	8807	123730
1329	8812	123712
1330	8818	123694
1331	8824	123674
1332	8830	123657
1333	8836	123648
1334	8842	123632
1335	8848	123618
1336	8854	123600
1337	8861	123594
1338	8867	123575
1339	8872	123557
1340	8878	123538
1341	8884	123521
1342	8890	123503
1343	8896	123495
1344	8902	123478
1345	8908	123460
1346	8914	123442
1347	8921	123450
1348	8928	123449
1349	8934	123432
1350	8941	123421
1351	8947	123406
1352	8953	123390
1353	8958	123373
1354	8964	123358
1355	8970	123342
1356	8976	123326
1357	8982	123310
1358	8988	123293
1359	8994	123277
1360	9000	123263
1361	9006	123247
1362	9012	123235
1363	9023	123291
1364	9032	123311
1365	9040	123318
1366	9046	123310
1367	9052	123294
1368	9058	123285
1369	9064	123270
1370	9072	123272
1371	9078	123257
1372	9084	123242
1373	9090	123228
1374	9096	123213
1375	9102	123196
1376	9108	123181
1377	9114	123165
1378	9119	123148
1379	9125	123131
1380	9131	123114
1381	9137	123095
1382	9143	123085
1383	9149	123069
1384	9155	123053
1385	9161	123039
1386	9167	123021
1387	9173	123003
1388	9178	122986
1389	9184	122970
1390	9190	122954
1391	9196	122937
1392	9202	122922
1393	9208	122907
1394	9214	122890
1395	9220	122877
1396	9226	122861
1397	9232	122846
1398	9239	122844
1399	9245	122835
1400	9251	122823
1401	9257	122807
1402	9263	122791
1403	9271	122800
1404	9277	122789
1405	9283	122771
1406	9289	122762
1407	9295	122747
1408	9301	122733
1409	9307	122719
1410	9313	122701
1411	9320	122702
1412	9327	122699
1413	9334	122698
1414	9341	122699
1415	9348	122696
1416	9359	122748
1417	9370	122789
1418	9379	122813
1419	9387	122836
1420	9396	122849
1421	9403	122848
1422	9409	122845
1423	9416	122840
1424	9423	122836
1425	9430	122837
1426	9438	122846
1427	9445	122842
1428	9451	122835
1429	9457	122817
1430	9463	122802
1431	9469	122787
1432	9475	122770
1433	9481	122756
1434	9487	122743
1435	9493	122727
1436	9499	122711
1437	9505	122696
1438	9511	122682
1439	9517	122672
1440	9523	122655
1441	9529	122639
1442	9535	122627
1443	9541	122615
1444	9547	122599
1445	9553	122582
1446	9561	122596
1447	9570	122613
1448	9577	122610
1449	9585	122622
1450	9591	122617
1451	9597	122604
1452	9604	122597
1453	9610	122584
1454	9616	122572
1455	9622	122558
1456	9628	122545
1457	9635	122532
1458	9641	122520
1459	9648	122525
1460	9660	122579
1461	9668	122592
1462	9674	122580
1463	9681	122573
1464	9687	122564
1465	9693	122550
1466	9701	122556
1467	9710	122581
1468	9717	122583
1469	9724	122575
1470	9730	122570
1471	9736	122558
1472	9744	122560
1473	9751	122560
1474	9758	122561
1475	9766	122572
1476	9773	122572
1477	9781	122575
1478	9787	122560
1479	9793	122548
1480	9799	122537
1481	9805	122524
1482	9811	122512
1483	9817	122498
1484	9823	122484
1485	9830	122472
1486	9836	122459
1487	9843	122460
1488	9850	122458
1489	9857	122454
1490	9863	122448
1491	9869	122435
1492	9876	122423
1493	9882	122409
1494	9888	122396
1495	9894	122388
1496	9900	122373
1497	9908	122385
1498	9915	122385
1499	9922	122373
1500	9928	122368
1501	9934	122353
1502	9941	122341
1503	9947	122330
1504	9953	122318
1505	9959	122306
1506	9965	122291
1507	9971	122276
1508	9977	122265
1509	9983	122253
1510	9990	122247
1511	9998	122256
1512	10010	122320
1513	10019	122337
1514	10026	122335
1515	10032	122322
1516	10038	122309
1517	10044	122295
1518	10050	122284
1519	10058	122286
1520	10064	122280
1521	10071	122268
1522	10077	122255
1523	10083	122243
1524	10089	122232
1525	10095	122219
1526	10102	122216
1527	10108	122204
1528	10114	122191
1529	10121	122180
1530	10127	122169
1531	10133	122162
1532	10142	122176
1533	10150	122192
1534	10157	122190
1535	10164	122181
1536	10170	122174
1537	10176	122161
1538	10182	122146
1539	10188	122135
1540	10194	122121
1541	10201	122107
1542	10206	122092
1543	10213	122087
1544	10219	122074
1545	10225	122062
1546	10231	122048
1547	10237	122035
1548	10244	122022
1549	10250	122016
1550	10257	122006
1551	10263	121996
1552	10269	121989
1553	10277	121990
1554	10284	121986
1555	10291	121984
1556	10297	121973
1557	10303	121958
1558	10309	121943
1559	10315	121930
1560	10321	121925
1561	10329	121926
1562	10336	121929
1563	10345	121950
1564	10353	121960
1565	10359	121944
1566	10365	121934
1567	10372	121927
1568	10381	121947
1569	10389	121962
1570	10396	121964
1571	10403	121952
1572	10409	121939
1573	10416	121944
1574	10423	121940
1575	10429	121927
1576	10440	121967
1577	10448	121984
1578	10456	121993
1579	10463	121986
1580	10469	121976
1581	10476	121966
1582	10483	121969
1583	10491	121977
1584	10497	121968
1585	10504	121957
1586	10510	121945
1587	10517	121939
1588	10523	121927
1589	10529	121917
1590	10535	121906
1591	10541	121894
1592	10548	121883
1593	10554	121872
1594	10560	121858
1595	10566	121849
1596	10573	121838
1597	10581	121847
1598	10590	121869
1599	10597	121873
1600	10605	121877
1601	10612	121874
1602	10618	121862
1603	10624	121854
1604	10631	121843
1605	10637	121830
1606	10643	121818
1607	10649	121811
1608	10657	121814
1609	10664	121811
1610	10670	121799
1611	10676	121789
1612	10683	121785
1613	10691	121794
1614	10699	121801
1615	10706	121798
1616	10713	121797
1617	10719	121783
1618	10726	121777
1619	10732	121766
1620	10738	121756
1621	10744	121744
1622	10751	121733
1623	10757	121721
1624	10763	121711
1625	10770	121707
1626	10776	121695
1627	10782	121685
1628	10789	121673
1629	10795	121663
1630	10801	121652
1631	10807	121642
1632	10814	121633
1633	10820	121622
1634	10828	121625
1635	10834	121618
1636	10840	121606
1637	10846	121593
1638	10853	121587
1639	10860	121584
1640	10867	121577
1641	10873	121570
1642	10879	121560
1643	10886	121547
1644	10893	121554
1645	10901	121554
1646	10907	121545
1647	10913	121536
1648	10920	121526
1649	10926	121516
1650	10932	121505
