iter	Logloss
0	0.6923934414
1	0.691704918
2	0.6910200854
3	0.6902827078
4	0.6895322706
5	0.6888617575
6	0.6880719373
7	0.6872559998
8	0.6866041506
9	0.685870775
10	0.6851318164
11	0.6843859883
12	0.6836011448
13	0.6829480637
14	0.6822814361
15	0.6815616327
16	0.6808517166
17	0.6802176608
18	0.6794941391
19	0.6787337517
20	0.6780955003
21	0.6773900321
22	0.67674882
23	0.6760220615
24	0.6753010184
25	0.6746427882
26	0.6739557622
27	0.6732800022
28	0.6725441525
29	0.6718886898
30	0.671196568
31	0.6705934165
32	0.6699494847
33	0.669224352
34	0.6685870019
35	0.6679376443
36	0.6672204367
37	0.6665997374
38	0.6658932434
39	0.665185438
40	0.664518568
41	0.6637682294
42	0.663116122
43	0.6623707318
44	0.6616705696
45	0.6610143952
46	0.6604077028
47	0.6597135512
48	0.6590860978
49	0.6584331205
50	0.6577641305
51	0.657113066
52	0.6564842621
53	0.6558555335
54	0.6551923797
55	0.6546303629
56	0.6540148921
57	0.6533320075
58	0.6526761637
59	0.6520716477
60	0.6514132838
61	0.6507133267
62	0.6500829397
63	0.6494799638
64	0.6489251025
65	0.6482957988
66	0.6476336223
67	0.6469689372
68	0.646377115
69	0.6457449961
70	0.6451715875
71	0.6444955778
72	0.6439282882
73	0.6433463422
74	0.6427202135
75	0.6420991116
76	0.6414950104
77	0.6408391621
78	0.6402000367
79	0.6396099742
80	0.6390408502
81	0.6384075238
82	0.6377646881
83	0.6371111907
84	0.6365767788
85	0.6359440344
86	0.6353879549
87	0.6348678899
88	0.6342420222
89	0.6336563299
90	0.6331179553
91	0.6325299404
92	0.6319447452
93	0.6312617885
94	0.6307586479
95	0.6301216834
96	0.6295423246
97	0.6289908064
98	0.6283723605
99	0.6278431862
100	0.6272516247
101	0.6266201718
102	0.6260731204
103	0.6253763578
104	0.6247518718
105	0.624226373
106	0.6236669214
107	0.6231301813
108	0.6225411965
109	0.6219117057
110	0.6213697483
111	0.6207973851
112	0.6201990591
113	0.6195954324
114	0.6190660396
115	0.6185654897
116	0.6180169793
117	0.6173525217
118	0.6167308346
119	0.6161208342
120	0.6155461332
121	0.6150364295
122	0.6145552749
123	0.6140384031
124	0.6135007014
125	0.6129382383
126	0.6121805756
127	0.611628773
128	0.6110832346
129	0.610456277
130	0.6099270061
131	0.6093604031
132	0.6088281956
133	0.6082311394
134	0.6076737365
135	0.6071503895
136	0.6066301178
137	0.6060761186
138	0.6055893283
139	0.6050645623
140	0.6045330067
141	0.6040392019
142	0.6035225305
143	0.6029589537
144	0.6024660232
145	0.6019442735
146	0.6014217107
147	0.6008588426
148	0.6003389839
149	0.5997792095
150	0.5992396823
151	0.5987276784
152	0.5981753135
153	0.5976215589
154	0.5971388811
155	0.5966019954
156	0.5960631364
157	0.5955279173
158	0.5949412208
159	0.594392334
160	0.5938134333
161	0.5932299454
162	0.5927334377
163	0.5922638446
164	0.5917802428
165	0.5913732064
166	0.5909134718
167	0.590449759
168	0.5899415765
169	0.5894266431
170	0.588943715
171	0.5885013741
172	0.5880115055
173	0.5875178063
174	0.5870218536
175	0.5864718861
176	0.5859744317
177	0.5854581109
178	0.5849051857
179	0.5844454539
180	0.5839149424
181	0.5834234122
182	0.5829070284
183	0.5823763171
184	0.5818722991
185	0.5813530035
186	0.5808238489
187	0.5802758523
188	0.5797543912
189	0.5792947356
190	0.5788301157
191	0.5783723829
192	0.577868533
193	0.5773241048
194	0.5768190707
195	0.5763756734
196	0.5759165136
197	0.5754382893
198	0.5749537016
199	0.5744816671
200	0.5739913586
201	0.5735072668
202	0.5730323581
203	0.5725654838
204	0.5721702409
205	0.5717035907
206	0.5712434452
207	0.5707516281
208	0.5702793301
209	0.569823089
